project,task_name,source,target
hr-运营看板,ads_intended_position_details,dwd.dwd_hr_resume_basicdata,ads.ads_intended_position_details
hr-运营看板,ads_intended_position_details,dwd.dwd_register_data,ads.ads_intended_position_details
hr-运营看板,ads_intended_position_details,ods.ods_hr_resume_dictionarybegposition,ads.ads_intended_position_details
hr-运营看板,ads_register_user_record,dwd.dwd_register_data,ads.ads_register_user_record
hr-运营看板,ads_register_user_record,dwd.dwd_hr_resume_basicdata,ads.ads_register_user_record
hr-运营看板,ads_resume_cnt,dwd.dwd_hr_resume_basicdata,ads.ads_resume_cnt
hr-运营看板,ads_resume_cnt,dwd.dwd_register_data,ads.ads_resume_cnt
hr-运营看板,ads_resume_create_record,dwd.dwd_hr_resume_basicdata,ads.ads_resume_create_record
hr-运营看板,ads_resume_create_record,ods.ods_hr_resume_dictionarybegposition,ads.ads_resume_create_record
hr-运营看板,ads_resume_create_record,ods.ods_hr_resume_dictionarybegposition_industry,ads.ads_resume_create_record
hr-运营看板,ads_resume_create_record,ods.ods_hr_resume_dictionarybegposition_region_province,ads.ads_resume_create_record
hr-运营看板,ads_resume_create_record,dwd.dwd_hr_resume_educationbasicdata,ads.ads_resume_create_record
hr-运营看板,ads_resume_create_record,ods.ods_hr_resume_practiceexperience,ads.ads_resume_create_record
hr-运营看板,ads_resume_create_record,ads.ads_register_user_record,ads.ads_resume_create_record
hr-运营看板,ads_resume_integrity,dwd.dwd_hr_resume_basicdata,ads.ads_resume_integrity
hr-运营看板,ads_resume_integrity,dwd.dwd_register_data,ads.ads_resume_integrity
hr-运营看板,意向岗位-ads_intended_position_details,ads.ads_resume_create_record,ads.ads_intended_position_details
hr-运营看板,意向岗位-ads_intended_position_details,ods.ods_hr_resume_dictionarybegposition,ads.ads_intended_position_details
hr-运营看板,意向行业公共表-ads_user_intended_industry,dwd.dwd_hr_resume_basicdata,ads.ads_user_intended_industry
hr-运营看板,意向行业公共表-ads_user_intended_industry,ods.ods_hr_resume_dictionarybegposition_industry,ads.ads_user_intended_industry
hr-运营看板,投递趋势-ads_data_trend_chart_resume_delivery_60days,ads.ads_resume_delivery_record,ads.ads_data_trend_chart_resume_delivery_60days
hr-运营看板,投递趋势-ads_data_trend_chart_resume_delivery_yesterday,ads.ads_resume_delivery_record,ads.ads_data_trend_chart_resume_delivery_yesterday
hr-运营看板,注册行业-ads_intended_industry_details,ads.ads_resume_create_record,ads.ads_intended_industry_details
hr-运营看板,注册行业-ads_intended_industry_details,ods.ods_hr_resume_dictionarybegposition_industry,ads.ads_intended_industry_details
hr-运营看板,注册趋势-ads_data_trend_chart_register_60days,ads.ads_register_user_record,ads.ads_data_trend_chart_register_60days
hr-运营看板,注册趋势-ads_data_trend_chart_register_yesterday,ads.ads_register_user_record,ads.ads_data_trend_chart_register_yesterday
hr-运营看板,活跃用户记录-ads_active_user_record_yesterday,ads.ads_active_user_record,ads.ads_active_user_record_yesterday
hr-运营看板,游客趋势-ads_data_trend_chart_visitor,ads.ads_active_user_record,ads.ads_data_trend_chart_visitor_yesterday
hr-运营看板,游客趋势-ads_data_trend_chart_visitor,ads.ads_active_user_record,ads.ads_data_trend_chart_visitor_60days
hr-运营看板,简历统计-ads_resume_cnt,ads.ads_resume_create_record,ads.ads_resume_cnt
hr-运营看板,简历完整度-ads_resume_integrity,ads.ads_resume_create_record,ads.ads_resume_integrity
hr-运营看板,访客趋势-ads_data_trend_chart_active_60days,ads.ads_active_user_record,ads.ads_data_trend_chart_active_60days
hr-运营看板,访客趋势-ads_data_trend_chart_active_yesterday,ads.ads_active_user_record,ads.ads_data_trend_chart_active_yesterday
hr-数仓建设,dwd_company_basicdata_zip-新数据,ods.ods_hr_company_basicdata,dwd.dwd_hr_company_basicdata_chain
hr-数仓建设,dwd_company_servicespecialistdata,ods.ods_hr_company_servicespecialistdata,dwd.dwd_hr_company_servicespecialistdata
hr-数仓建设,dwd_crm_companyclaims_chain(新),ods.ods_crm_companyclaims,dwd.dwd_crm_companyclaims_chain
hr-数仓建设,dwd_crm_crm_contract_chain(新),ods.ods_crm_crm_contract,dwd.dwd_crm_crm_contract_chain
hr-数仓建设,dwd_hr_company_combo_type,ods.ods_hr_company_combo_type,dwd.dwd_hr_company_combo_type
hr-数仓建设,dwd_hr_company_combo_type_snapshot,ods.ods_hr_company_combo_type_snapshot,dwd.dwd_hr_company_combo_type_snapshot
hr-数仓建设,companyclaims,ods.ods_crm_companyclaims,dwd.dwd_crm_companyclaims
hr-数仓建设,crm_contract,ods.ods_crm_crm_contract,dwd.dwd_crm_crm_contract
hr-数仓建设,dwd_if_import,dwd.dwd_hr_resume_basicdata,dwd.dwd_if_import
hr-数仓建设,dwd_if_import,ods.ods_resumehunter_basicdata,dwd.dwd_if_import
hr-数仓建设,dwd_jobim_msgrecord,ods.ods_jobim_msgrecord,dwd.dwd_jobim_msgrecord
hr-数仓建设,dwd_job_basicdata_zip-新数据,ods.ods_hr_job_basicdata,dwd.dwd_hr_job_basicdata_chain
hr-数仓建设,dwd_resume_educationbasicdata,ods.ods_hr_resume_educationbasicdata,dwd.dwd_hr_resume_educationbasicdata
hr-数仓建设,dwd_click_log,ods.ods_hr_click_log,dwd.dwd_hr_click_log
hr-数仓建设,dwd_company_basicdata,ods.ods_hr_company_basicdata,dwd.dwd_hr_company_basicdata
hr-数仓建设,dwd_company_hrinfo,ods.ods_hr_company_hrinfo,dwd.dwd_hr_company_hrinfo
hr-数仓建设,dwd_job_basicdata,ods.ods_hr_job_basicdata,dwd.dwd_hr_job_basicdata
hr-数仓建设,dwd_resume_basicdata_zip-新数据,ods.ods_hr_resume_basicdata,dwd.dwd_hr_resume_basicdata_chain
hr-数仓建设,dwd_resume_deliverrecord,ods.ods_hr_resume_deliverrecord,dwd.dwd_hr_resume_deliverrecord
hr-数仓建设,dwd_resume_deliverrecordopearatinglog,ods.ods_hr_resume_deliverrecordopearatinglog,dwd.dwd_hr_resume_deliverrecordopearatinglog
hr-数仓建设,dwd_rigster_data,ods.ods_register_data,dwd.dwd_register_data
hr-数仓建设,dwd_user_intended_industry,dwd.dwd_hr_resume_basicdata,dwd.dwd_user_intended_industry
hr-数仓建设,dwd_user_intended_industry,ods.ods_hr_resume_dictionarybegposition_industry,dwd.dwd_user_intended_industry
hr-数仓建设,dwd_show_log,ods.ods_hr_show_log,dwd.dwd_hr_show_log
hr-数仓建设,dwd_view_details,ods.ods_hr_view_log,dwd.dwd_hr_view_details
hr-数仓建设,ods_hr_sync_live_maidian2dwd_view_details,ods.ods_hr_sync_live_maidian,dwd.dwd_hr_view_details
hr-数仓建设,全量写入-DWD,ods.ods_hr_company_attentionrecord,dwd.dwd_hr_company_attentionrecord
hr-数仓建设,全量写入-DWD,ods.ods_hr_company_checklog,dwd.dwd_hr_company_checklog
hr-数仓建设,全量写入-DWD,ods.ods_hr_company_combo_type_snapshot,dwd.dwd_hr_company_combo_type_snapshot
hr-数仓建设,全量写入-DWD,ods.ods_hr_company_deparmentdata,dwd.dwd_hr_company_deparmentdata
hr-数仓建设,全量写入-DWD,ods.ods_hr_company_industrytyperecord,dwd.dwd_hr_company_industrytyperecord
hr-数仓建设,全量写入-DWD,ods.ods_hr_job_collectrecord,dwd.dwd_hr_job_collectrecord
hr-数仓建设,全量写入-DWD,ods.ods_hr_job_illegalreport,dwd.dwd_hr_job_illegalreport
hr-数仓建设,全量写入-DWD,ods.ods_hr_resume_identifycode,dwd.dwd_hr_resume_identifycode
hr-数仓建设,全量写入-DWD,ods.ods_hr_resume_import_parse_record,dwd.dwd_hr_resume_import_parse_record
hr-数仓建设,全量写入-DWD,ods.ods_hr_resume_practiceexperience,dwd.dwd_hr_resume_practiceexperience
hr-数仓建设,全量写入-DWD,ods.ods_hr_resume_dictionarybegposition,dwd.dwd_hr_resume_dictionarybegposition
hr-数仓建设,全量写入-DWD,ods.ods_hr_resume_dictionarybegposition_industry,dwd.dwd_hr_resume_dictionarybegposition_industry
hr-数仓建设,全量写入-DWD,ods.ods_hr_resume_dictionarybegposition_region_province,dwd.dwd_hr_resume_dictionarybegposition_region_province
hr-数仓建设,全量写入-DWD,ods.ods_hr_company_combo_type,dwd.dwd_hr_company_combo_type
hr-数仓建设,全量写入-DWD,ods.ods_hr_company_servicespecialistdata,dwd.dwd_hr_company_servicespecialistdata
hr-导数需求,ads_recommendrecord_tlj,dwd.dwd_hr_resume_recommendrecord,ads.ads_recommendrecord_tlj
hr-导数需求,ads_recommendrecord_tlj,dwd.dwd_hr_company_basicdata,ads.ads_recommendrecord_tlj
hr-导数需求,ads_recommendrecord_tlj,ods.ods_hr_company_servicespecialistdata,ads.ads_recommendrecord_tlj
hr-供需模型,dws_resume_statics_1,dws.dws_hr_resume_static,dws.dws_resume_statics_1
hr-供需模型,dws_resume_statics_1,dws.dws_hunter_resume_static,dws.dws_resume_statics_1
hr-供需模型,dws_job_static,dwd.dwd_hr_job_basicdata,dws.dws_job_static
hr-供需模型,dws_job_static,dwd.dwd_hr_company_basicdata,dws.dws_job_static
hr-供需模型,dws_job_static_result,dws.dws_job_static,dws.dws_job_static_1
hr-供需模型,dws_job_static_result,dws.dws_job_static,dws.dws_job_static_100
hr-供需模型,dws_job_static_result,dws.dws_job_static,dws.dws_job_static_100150
hr-供需模型,dws_job_static_result,dws.dws_job_static,dws.dws_job_static_101469
hr-供需模型,dws_job_static_result,dws.dws_job_static,dws.dws_job_static_184
hr-供需模型,dws_job_static_result,dws.dws_job_static,dws.dws_job_static_346
hr-供需模型,dws_job_static_result,dws.dws_job_static,dws.dws_job_static_699
hr-供需模型,dws_job_static_result,dws.dws_job_static,dws.dws_job_static_911
hr-供需模型,dws_resume_statics_result,dws.dws_hr_resume_static,dws.dws_resume_statics_1
hr-供需模型,dws_resume_statics_result,dws.dws_hunter_resume_static,dws.dws_resume_statics_1
hr-供需模型,dws_resume_statics_result,dws.dws_hr_resume_static,dws.dws_resume_statics_100
hr-供需模型,dws_resume_statics_result,dws.dws_hunter_resume_static,dws.dws_resume_statics_100
hr-供需模型,dws_resume_statics_result,dws.dws_hr_resume_static,dws.dws_resume_statics_100150
hr-供需模型,dws_resume_statics_result,dws.dws_hunter_resume_static,dws.dws_resume_statics_100150
hr-供需模型,dws_resume_statics_result,dws.dws_hr_resume_static,dws.dws_resume_statics_101469
hr-供需模型,dws_resume_statics_result,dws.dws_hunter_resume_static,dws.dws_resume_statics_101469
hr-供需模型,dws_resume_statics_result,dws.dws_hr_resume_static,dws.dws_resume_statics_184
hr-供需模型,dws_resume_statics_result,dws.dws_hunter_resume_static,dws.dws_resume_statics_184
hr-供需模型,dws_resume_statics_result,dws.dws_hr_resume_static,dws.dws_resume_statics_346
hr-供需模型,dws_resume_statics_result,dws.dws_hunter_resume_static,dws.dws_resume_statics_346
hr-供需模型,dws_resume_statics_result,dws.dws_hr_resume_static,dws.dws_resume_statics_699
hr-供需模型,dws_resume_statics_result,dws.dws_hunter_resume_static,dws.dws_resume_statics_699
hr-供需模型,dws_resume_statics_result,dws.dws_hr_resume_static,dws.dws_resume_statics_911
hr-供需模型,dws_resume_statics_result,dws.dws_hunter_resume_static,dws.dws_resume_statics_911
hr-推荐系统,ads_industry_median_delivery,dwd.dwd_hr_resume_deliverrecord,ads.ads_industry_median_delivery
hr-推荐系统,ads_industry_median_delivery,dwd.dwd_hr_company_basicdata,ads.ads_industry_median_delivery
hr-推荐系统,ads_industry_median_delivery,ods.ods_hr_company_industrytyperecord,ads.ads_industry_median_delivery
hr-推荐系统,dwd_view_job_info,dwd.dwd_hr_view_job_click,dwd.dwd_hr_view_job_info
hr-搜索系统,dwd_search_log,ods.ods_hr_search_log,dwd.dwd_hr_search_log
hr-企业报告,dws_avgdelivery_edu,dws.dws_resume_delivery,dws.dws_avgdelivery_edu
hr-企业报告,dws_avgdelivery_edu,dws.dws_company_details,dws.dws_avgdelivery_edu
hr-企业报告,dws_avgdelivery_workyear,dws.dws_resume_delivery,dws.dws_avgdelivery_workyear
hr-企业报告,dws_avgdelivery_workyear,dws.dws_company_details,dws.dws_avgdelivery_workyear
hr-企业报告,dws_avgdowload_edu,dws.dws_resume_collectrecords,dws.dws_avgdowload_edu
hr-企业报告,dws_avgdowload_edu,dws.dws_company_details,dws.dws_avgdowload_edu
hr-企业报告,dws_jobs_oneline,dws.dws_company_details,dws.dws_jobs_oneline
